         162113472 function calls (133249771 primitive calls) in 62.759 seconds

   Ordered by: cumulative time
   List reduced from 995 to 140 due to restriction <140>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      518    0.011    0.000    0.280    0.001 inqsi_pull_history.py:524(_provider_manifest_material)
       35    0.000    0.000    0.261    0.007 parsers.py:741(_parse_body_as_json)
       36    0.000    0.000    0.256    0.007 __init__.py:299(loads)
       36    0.000    0.000    0.256    0.007 decoder.py:332(decode)
       36    0.256    0.007    0.256    0.007 decoder.py:343(raw_decode)
   716076    0.253    0.000    0.253    0.000 parsers.py:354(_has_unknown_tagged_union_member)
        1    0.000    0.000    0.244    0.244 mlb_daily_pick_lock.py:132(_get_lock_item)
   369043    0.108    0.000    0.187    0.000 types.py:288(_deserialize_n)
     1745    0.014    0.000    0.178    0.000 mlb_daily_per_game_lock_patch.py:1162(_matching_game)
      276    0.027    0.000    0.177    0.001 mlb_official_schedule_authority.py:406(validate_authority_proof)
        2    0.000    0.000    0.173    0.087 connection.py:708(_ssl_wrap_socket_and_match_hostname)
        2    0.000    0.000    0.173    0.086 ssl_.py:398(ssl_wrap_socket)
   871766    0.162    0.000    0.162    0.000 {built-in method __new__ of type object at 0xa44b40}
      632    0.003    0.000    0.159    0.000 mlb_daily_per_game_lock_patch.py:1250(_game_snapshot_fingerprint)
     7762    0.049    0.000    0.157    0.000 inqsi_pull_history.py:475(_provider_manifest_game)
        2    0.000    0.000    0.139    0.070 connection.py:197(_new_conn)
        2    0.000    0.000    0.139    0.070 connection.py:27(create_connection)
        2    0.000    0.000    0.137    0.069 ssl_.py:499(_ssl_wrap_socket_impl)
        2    0.000    0.000    0.137    0.069 ssl.py:449(wrap_socket)
        2    0.000    0.000    0.137    0.069 ssl.py:956(_create)
        2    0.000    0.000    0.137    0.069 ssl.py:1313(do_handshake)
        2    0.137    0.069    0.137    0.069 {method 'do_handshake' of '_ssl._SSLSocket' objects}
140412/54336    0.094    0.000    0.135    0.000 inqsi_pull_history.py:156(_legacy_payload_value)
        2    0.134    0.067    0.134    0.067 {method 'connect' of '_socket.socket' objects}
   888247    0.127    0.000    0.127    0.000 {method 'is_finite' of 'decimal.Decimal' objects}
110514/634    0.100    0.000    0.117    0.000 mlb_daily_per_game_lock_patch.py:2392(_plain)
  1620369    0.116    0.000    0.116    0.000 inqsi_pull_history.py:150(<lambda>)
    23118    0.030    0.000    0.114    0.000 inqsi_pull_history.py:515(_manifest_sort_key)
   806048    0.110    0.000    0.110    0.000 {method 'lower' of 'str' objects}
    22073    0.045    0.000    0.100    0.000 mlb_daily_per_game_lock_patch.py:1096(_has_moneyline)
   716076    0.090    0.000    0.090    0.000 {method 'keys' of 'dict' objects}
  1243641    0.090    0.000    0.090    0.000 parsers.py:343(_default_handle)
    53112    0.042    0.000    0.081    0.000 inqsi_pull_history.py:457(team_key)
   369043    0.079    0.000    0.079    0.000 {method 'create_decimal' of 'decimal.Context' objects}
      326    0.000    0.000    0.079    0.000 contextlib.py:141(__exit__)


