sport,slateDate,commenceTime,matchup,predictedWinner,winner,score,winProbabilityPct,marketProb,marketEdge,marketDelta,marketGap,bookDivergence,reversalCount,movementPerReversal,runLineMoveAbs,bookAgreement,bookDivergenceFlag,runLineMove,runLineAligned,unconfirmedRunLine,steam,steamAligned,resistance,compressedMarket,missingFundamentals,lowPullDepth,favoriteRisk,opponentFavored,highReversalDirectional,highReversalWeak,selectedUnderdog,selectedFavorite,underdogPositiveMove,underdogEdgeImproving,favoriteFlatMoveRisk,favoriteCompressedRisk,lean,passTier,label
mlb,2026-07-04,2026-07-05T01:41:00Z,Miami Marlins at Athletics,Athletics,Miami Marlins,33.68,20.42,0.5262,0.0524,-0.00642,0.0524,0.01787,2.0,0.00321,53.364,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
mlb,2026-07-04,2026-07-05T02:11:00Z,San Diego Padres at Los Angeles Dodgers,Los Angeles Dodgers,Los Angeles Dodgers,73.72,87.83,0.65931,0.31861999999999996,0.00458,0.31862,0.00683,0.0,0.00458,1.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
mlb,2026-07-04,2026-07-04T23:11:00Z,Baltimore Orioles at Cincinnati Reds,Cincinnati Reds,Baltimore Orioles,38.75,28.14,0.50017,0.00034000000000000696,-0.00376,0.00034,0.02037,1.0,0.00376,5.818,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0
mlb,2026-07-04,2026-07-04T23:11:00Z,Chicago White Sox at Cleveland Guardians,Cleveland Guardians,Chicago White Sox,35.83,23.49,0.57508,0.15016000000000002,-0.01257,0.15016,0.02523,2.0,0.006285,4.182,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
mlb,2026-07-04,2026-07-04T23:11:00Z,Tampa Bay Rays at Houston Astros,Houston Astros,Houston Astros,49.5,48.96,0.50286,0.005719999999999947,0.00286,0.00572,0.01054,0.0,0.00286,104.227,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1
mlb,2026-07-04,2026-07-04T20:06:00Z,Detroit Tigers at Texas Rangers,Detroit Tigers,Detroit Tigers,25.46,11.46,0.51764,0.03527999999999998,-0.00314,0.03527,0.00634,4.0,0.000785,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1
mlb,2026-07-04,2026-07-04T20:11:00Z,Toronto Blue Jays at Seattle Mariners,Seattle Mariners,Seattle Mariners,45.59,40.91,0.58994,0.17988000000000004,-0.00376,0.17988,0.01932,2.0,0.00188,5.636,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1
mlb,2026-07-04,2026-07-04T17:39:00Z,Minnesota Twins at New York Yankees,New York Yankees,Minnesota Twins,45.68,41.1,0.59657,0.19314000000000003,0.0032,0.19314,0.01278,3.0,0.0010666666666666667,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0
mlb,2026-07-04,2026-07-04T15:06:00Z,Pittsburgh Pirates at Washington Nationals,Pittsburgh Pirates,Pittsburgh Pirates,44.96,39.65,0.59641,0.19282,-0.0043,0.19282,0.01161,2.0,0.00215,18.727,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1
mlb,2026-07-03,2026-07-04T00:15:27Z,Tampa Bay Rays at Houston Astros,Houston Astros,Tampa Bay Rays,49.5,48.96,0.50286,0.005719999999999947,0.00286,0.00572,0.01054,0.0,0.00286,104.227,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0
